molecule_chembl_id,canonical_smiles,standard_value
CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,100.0
CHEMBL4068357,C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,27.0
CHEMBL4089515,C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3cccc(O)c3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,343.0
CHEMBL3644620,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,70.3
CHEMBL3928932,CCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,10.5
CHEMBL3929865,Oc1cccc(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)c1,572.7
CHEMBL4087076,CC(C)c1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,250.3
CHEMBL4104931,CCCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,75.4
CHEMBL3914503,COc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,57.8
CHEMBL4086131,CCc1c(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)ccc(O)c1F,204.8
CHEMBL4103980,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,47.9
CHEMBL4086057,CCc1cc(O)ccc1-c1ccc2c(-c3ncc[nH]3)n[nH]c2c1,10.4
CHEMBL4096219,CCc1cc(O)ccc1-c1ccc2c(C(N)=O)n[nH]c2c1,19.1
CHEMBL4078165,CCc1cc(O)ccc1-c1ccc2c(C(=O)NC)n[nH]c2c1,9.1
CHEMBL4074855,CCc1cc(O)ccc1-c1ccc2c(C(=O)N(C)C)n[nH]c2c1,10000.0
CHEMBL4101534,CCc1cc(O)ccc1-c1ccc2c(C(=O)Nc3ccc(C)nc3)n[nH]c2c1,277.8
CHEMBL4066236,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)CC4)n[nH]c2c1,18.6
